Date,Time,TxBat(V),RSSI(dB),RX,RxBatt(V),VFR(%),Altitude(m),VSpeed(m/s),ADC2(V),LiPo1(V),LiPo2(V),LiPo3(V),LiPo4(V),LiPo5(V),LiPo6(V),LiPo7(V),LiPo8(V),Latitude, Longitude,GPS Alt(m),GPS Speed(km/h),GPS Clock(),Rudder,Elevator,Throttle,Aileron,Pot1,Pot2,Slider left,Slider right,SA,SB,SC,SD,SE,SF,SG,SH,SI,SJ,LS1,LS2,LS3,LS4,LS5,LS6,LS7,LS8,LS9,LS10,LS11,LS12,LS13,LS14,LS15,LS16,LS17,LS18,LS19,LS20,LS21,LS22,LS23,LS24,LS25,LS26,LS27,LS28,
2024-01-04,13:36:02.780,7.9,74,0,5.85,100,,,0.00,,,,,,,,,,,,,,0,0,-885,0,1024,1024,0,0,-1,-1,0,0,0,1,1,-1,-1,-1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,
2024-01-04,13:36:02.930,7.9,74,0,5.86,100,,,0.00,,,,,,,,,,,,,,0,0,-886,0,1024,1024,0,0,-1,-1,0,0,0,1,1,-1,-1,-1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,
2024-01-04,13:36:03.200,7.9,74,0,5.89,100,,,0.00,,,,,,,,,,,,,,0,0,-885,0,1024,1024,0,0,-1,-1,0,0,0,1,1,-1,-1,-1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,
2024-01-04,13:36:03.470,7.9,73,0,5.87,100,,,0.00,,,,,,,,,,,,,,0,0,-885,0,1024,1024,0,0,-1,-1,0,0,0,1,1,-1,-1,-1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,
2024-01-04,13:36:03.740,7.9,73,0,5.86,99,,,0.00,,,,,,,,,,,,,,0,0,-885,0,1024,1024,0,0,-1,-1,0,0,0,1,1,-1,-1,-1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,
2024-01-04,13:36:04.000,7.9,73,0,5.79,96,,,0.00,,,,,,,,,,,,,,0,0,-886,0,1024,1024,0,0,-1,-1,0,0,0,1,1,-1,-1,-1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,
2024-01-04,13:36:04.270,7.9,73,0,5.73,94,84,,0.00,,,,,,,,,,,,,,0,0,-885,0,1024,1024,0,0,-1,-1,0,0,0,1,1,-1,-1,-1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,
2024-01-04,13:36:04.540,7.9,74,0,5.80,93,122,10.0,0.00,,,,,,,,,,,,,,0,0,-886,0,1024,1024,0,0,-1,-1,0,0,0,1,1,-1,-1,-1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,
2024-01-04,13:36:04.800,7.9,73,0,5.84,92,125,10.0,0.00,,,,,,,,,,,,,,0,0,-886,0,1024,1024,0,0,-1,-1,0,0,0,1,1,-1,-1,-1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,
2024-01-04,13:36:05.070,7.9,74,0,5.88,91,126,10.0,0.00,4.19,4.21,4.20,4.19,,,,,,,,,,0,0,-885,0,1024,1024,0,0,-1,-1,0,0,0,1,1,-1,-1,-1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,
