Date,Time,TxBat(V),RSSI(dB),RX,RxBatt(V),VFR(%),Altitude(m),VSpeed(m/s),ADC2(V),LiPo1(V),LiPo2(V),LiPo3(V),LiPo4(V),LiPo5(V),LiPo6(V),LiPo7(V),LiPo8(V),Latitude, Longitude,GPS Alt(m),GPS Speed(km/h),GPS Clock(),Rudder,Elevator,Throttle,Aileron,Pot1,Pot2,Slider left,Slider right,SA,SB,SC,SD,SE,SF,SG,SH,SI,SJ,LS1,LS2,LS3,LS4,LS5,LS6,LS7,LS8,LS9,LS10,LS11,LS12,LS13,LS14,LS15,LS16,LS17,LS18,LS19,LS20,LS21,LS22,LS23,LS24,LS25,LS26,LS27,LS28,LS29,LS30,
2024-01-20,14:31:16.800,8.4,74,0,5.63,98,2,-0.1,0.00,4.17,4.20,4.15,4.20,,,,,45.043225, 7.406200,0.7,32,2024-01-20 14:31:01,0,-332,1022,222,1024,1024,0,132,0,-1,1,1,1,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
2024-01-20,14:31:16.930,8.4,74,0,5.69,98,2,-0.1,0.00,4.17,4.20,4.15,4.20,,,,,45.043225, 7.406200,0.7,32,2024-01-20 14:31:01,2,-238,1023,71,1024,1024,0,132,0,-1,1,1,1,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2024-01-20,14:31:17.050,8.4,74,0,5.72,97,2,-0.1,0.00,4.17,4.20,4.15,4.20,,,,,45.043162, 7.406250,0.7,32,2024-01-20 14:31:01,3,-165,1023,0,1024,1024,0,132,0,-1,1,1,1,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2024-01-20,14:31:17.180,8.4,73,0,5.67,97,2,-0.1,0.00,4.17,4.20,4.15,4.20,,,,,45.043162, 7.406250,0.7,37,2024-01-20 14:31:02,8,-186,1023,0,1024,1024,0,132,0,-1,1,1,1,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2024-01-20,14:31:17.300,8.4,73,0,5.68,96,2,0.1,0.00,4.17,4.20,4.15,4.20,,,,,45.043162, 7.406250,0.7,37,2024-01-20 14:31:02,0,-208,1023,0,1024,1024,0,131,0,-1,1,1,1,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2024-01-20,14:31:17.420,8.4,73,0,5.70,95,2,0.1,0.00,4.11,4.14,4.15,4.20,,,,,45.043162, 7.406250,0.7,37,2024-01-20 14:31:02,0,-209,1023,0,1024,1024,0,0,0,-1,1,1,1,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2024-01-20,14:31:17.550,8.4,73,0,5.73,95,2,0.6,0.00,4.11,4.14,4.15,4.20,,,,,45.043162, 7.406250,0.7,37,2024-01-20 14:31:02,0,-179,1023,0,1024,1024,0,0,0,-1,1,1,1,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2024-01-20,14:31:17.670,8.4,73,0,5.74,94,2,0.6,0.00,4.11,4.14,4.15,4.20,,,,,45.043162, 7.406250,0.7,37,2024-01-20 14:31:02,0,-171,1023,0,1023,1024,0,0,0,-1,1,1,1,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2024-01-20,14:31:17.800,8.4,73,0,5.79,94,2,1.2,0.00,4.11,4.14,4.15,4.20,,,,,45.043162, 7.406250,0.7,37,2024-01-20 14:31:02,0,-165,1023,0,1024,1024,0,0,0,-1,1,1,1,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2024-01-20,14:31:17.920,8.4,74,0,5.74,93,2,1.2,0.00,4.11,4.14,4.15,4.20,,,,,45.043162, 7.406250,0.7,37,2024-01-20 14:31:02,-22,-156,1023,0,1023,1024,0,0,0,-1,1,1,1,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
