Date,Time,TxBat(V),RSSI(dB),RX,RxBatt(V),VFR(%),Altitude(m),VSpeed(m/s),ADC2(V),LiPo1(V),LiPo2(V),LiPo3(V),LiPo4(V),LiPo5(V),LiPo6(V),LiPo7(V),LiPo8(V),Latitude, Longitude,GPS Alt(m),GPS Speed(km/h),GPS Clock(),Rudder,Elevator,Throttle,Aileron,Pot1,Pot2,Slider left,Slider right,SA,SB,SC,SD,SE,SF,SG,SH,SI,SJ,LS1,LS2,LS3,LS4,LS5,LS6,LS7,LS8,LS9,LS10,LS11,LS12,LS13,LS14,LS15,LS16,LS17,LS18,LS19,LS20,LS21,LS22,LS23,LS24,LS25,LS26,LS27,LS28,LS29,LS30,
2024-01-20,15:16:47.070,8.3,73,0,5.79,100,,,0.00,,,,,,,,,,,,,,0,0,1024,0,1024,1019,-429,0,-1,-1,1,1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-01-20,15:16:47.140,8.3,74,0,5.79,97,,,0.00,,,,,,,,,,,,,,0,0,1024,0,1024,1019,-429,0,-1,-1,1,1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-01-20,15:16:47.270,8.3,74,0,5.79,96,,,0.00,,,,,,,,,,,,,,0,0,1024,0,1024,1019,-429,0,-1,-1,1,1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-01-20,15:16:47.380,8.3,74,0,5.79,96,,10.0,0.00,,,,,,,,,,,,,,0,0,1024,0,1024,1020,-429,0,-1,-1,1,1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-01-20,15:16:47.490,8.3,74,0,5.79,95,,10.0,0.00,,,,,,,,,,,,,,0,0,1024,0,1024,1020,-429,0,-1,-1,1,1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-01-20,15:16:47.610,8.3,74,0,5.79,95,46,10.0,0.00,,,,,,,,,,,,,,0,0,1024,0,1024,1019,-429,0,-1,-1,1,1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-01-20,15:16:47.720,8.3,74,0,5.79,95,46,10.0,0.00,,,,,,,,,,,,,,0,0,1024,0,1024,1019,-429,0,-1,-1,1,1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-01-20,15:16:47.840,8.3,73,0,5.79,95,61,10.0,0.00,,,,,,,,,,,,,,0,0,1024,0,1024,1019,-429,0,-1,-1,1,1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-01-20,15:16:47.960,8.3,74,0,5.77,94,61,10.0,0.00,,,,,,,,,,,,,,0,0,1024,0,1024,1019,-429,0,-1,-1,1,1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-01-20,15:16:48.090,8.3,73,0,5.78,94,66,10.0,0.00,,,,,,,,,,,,,,0,0,1024,0,1024,1019,-430,0,-1,-1,1,1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-01-20,15:16:48.210,8.3,74,0,5.78,94,66,10.0,0.00,,,,,,,,,,,,,,0,0,1024,0,1024,1019,-429,0,-1,-1,1,1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-01-20,15:16:48.320,8.3,73,0,5.78,94,68,10.0,0.00,,,,,,,,,,,,,,0,0,1024,0,1024,1019,-429,0,-1,-1,1,1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-01-20,15:16:48.440,8.3,74,0,5.79,94,68,10.0,0.00,,,,,,,,,,,,,,0,0,1024,0,1024,1020,-429,0,-1,-1,1,1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,
