Date,Time,TxBat(V),RSSI(dB),RX,RxBatt(V),VFR(%),Altitude(m),VSpeed(m/s),ADC2(V),LiPo1(V),LiPo2(V),LiPo3(V),LiPo4(V),LiPo5(V),LiPo6(V),LiPo7(V),LiPo8(V),Latitude, Longitude,GPS Alt(m),GPS Speed(km/h),GPS Clock(),Rudder,Elevator,Throttle,Aileron,Pot1,Pot2,Slider left,Slider right,SA,SB,SC,SD,SE,SF,SG,SH,SI,SJ,LS1,LS2,LS3,LS4,LS5,LS6,LS7,LS8,LS9,LS10,LS11,LS12,LS13,LS14,LS15,LS16,LS17,LS18,LS19,LS20,LS21,LS22,LS23,LS24,LS25,LS26,LS27,LS28,LS29,LS30,
2024-01-20,15:45:26.210,8.2,74,0,5.77,99,0,0.1,0.00,,,,,,,,,45.043300, 7.406200,,1,2024-01-20 15:45:25,0,0,1024,0,1024,1020,-886,56,0,-1,1,0,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-01-20,15:45:26.270,8.2,74,0,5.77,99,0,0.1,0.00,,,,,,,,,45.043300, 7.406200,,1,2024-01-20 15:45:26,0,0,1024,0,1024,1019,-886,56,0,-1,1,0,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-01-20,15:45:26.400,8.2,74,0,5.78,99,0,0.0,0.00,4.18,4.20,4.19,4.19,,,,,45.043300, 7.406200,,1,2024-01-20 15:45:26,0,0,1024,0,1023,1019,-887,56,0,-1,1,0,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-01-20,15:45:26.510,8.3,74,0,5.78,99,0,0.0,0.00,4.18,4.20,4.19,4.19,,,,,45.043300, 7.406200,,1,2024-01-20 15:45:26,0,0,1024,0,1024,1019,-887,56,0,-1,1,0,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-01-20,15:45:26.640,8.3,74,0,5.78,99,0,-0.1,0.00,4.18,4.20,4.19,4.19,,,,,45.043300, 7.406200,,1,2024-01-20 15:45:26,0,0,1024,0,1024,1019,-886,55,0,-1,1,0,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-01-20,15:45:26.750,8.3,74,0,5.76,99,0,-0.1,0.00,4.18,4.20,4.19,4.19,,,,,45.043300, 7.406200,,1,2024-01-20 15:45:26,0,0,1024,0,1024,1019,-886,55,0,-1,1,0,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-01-20,15:45:26.870,8.3,74,0,5.77,98,0,-0.1,0.00,4.18,4.20,4.19,4.19,,,,,45.043300, 7.406200,,1,2024-01-20 15:45:26,0,0,1024,0,1024,1020,-886,55,0,-1,1,0,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-01-20,15:45:26.980,8.3,74,0,5.75,98,0,-0.1,0.00,4.18,4.20,4.19,4.19,,,,,45.043300, 7.406200,,1,2024-01-20 15:45:26,0,0,1024,0,1024,1019,-886,55,0,-1,1,0,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-01-20,15:45:27.090,8.2,74,0,5.79,98,0,0.0,0.00,4.18,4.20,4.19,4.19,,,,,45.043300, 7.406200,,1,2024-01-20 15:45:26,0,0,1024,0,1024,1020,-886,56,0,-1,1,0,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-01-20,15:45:27.200,8.2,74,0,5.68,98,0,0.0,0.00,4.18,4.20,4.19,4.19,,,,,45.043300, 7.406200,0.2,1,2024-01-20 15:45:26,0,0,1024,0,1024,1019,-886,55,0,-1,1,0,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-01-20,15:45:27.310,8.2,74,0,5.69,98,0,0.2,0.00,4.18,4.20,4.19,4.19,,,,,45.043300, 7.406200,0.2,1,2024-01-20 15:45:27,0,0,1024,0,1024,1019,-887,55,0,-1,1,0,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-01-20,15:45:27.430,8.2,74,0,5.74,97,0,0.2,0.00,4.18,4.20,4.19,4.19,,,,,45.043300, 7.406200,0.2,1,2024-01-20 15:45:27,0,0,1024,0,1024,1019,-886,56,0,-1,1,0,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-01-20,15:45:27.540,8.2,74,0,5.75,97,0,0.0,0.00,4.18,4.20,4.19,4.19,,,,,45.043300, 7.406200,0.2,1,2024-01-20 15:45:27,0,0,1024,0,1024,1019,-886,55,0,-1,1,0,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-01-20,15:45:27.670,8.2,74,0,5.76,98,0,0.0,0.00,4.18,4.20,4.19,4.19,,,,,45.043300, 7.406200,0.2,0,2024-01-20 15:45:27,0,0,1024,0,1024,1019,-887,56,0,-1,1,0,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-01-20,15:45:27.780,8.2,74,0,5.77,98,0,-0.1,0.00,4.18,4.20,4.19,4.19,,,,,45.043300, 7.406200,0.2,0,2024-01-20 15:45:27,0,0,1024,0,1024,1019,-887,55,0,-1,1,0,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-01-20,15:45:27.910,8.2,74,0,5.75,98,0,-0.1,0.00,4.18,4.20,4.19,4.19,,,,,45.043300, 7.406200,0.2,0,2024-01-20 15:45:27,0,0,1024,0,1024,1020,-886,56,0,-1,1,0,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-01-20,15:45:28.030,8.2,74,0,5.76,99,0,-0.1,0.00,4.18,4.20,4.19,4.19,,,,,45.043300, 7.406200,0.2,0,2024-01-20 15:45:27,0,0,1024,0,1024,1019,-886,55,0,-1,1,0,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-01-20,15:45:28.150,8.2,74,0,5.77,99,0,-0.1,0.00,4.18,4.20,4.19,4.19,,,,,45.043300, 7.406200,0.1,0,2024-01-20 15:45:27,0,0,1024,0,1024,1020,-887,55,0,-1,1,0,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-01-20,15:45:28.260,8.3,74,0,5.78,99,0,0.0,0.00,4.18,4.20,4.19,4.19,,,,,45.043300, 7.406200,0.1,2,2024-01-20 15:45:28,0,0,1024,0,1024,1019,-886,56,0,-1,1,0,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-01-20,15:45:28.380,8.3,74,0,5.78,100,0,0.0,0.00,4.18,4.20,4.19,4.19,,,,,45.043300, 7.406200,0.1,2,2024-01-20 15:45:28,0,0,1024,0,1024,1019,-886,56,0,-1,1,0,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-01-20,15:45:28.500,8.3,74,0,5.78,100,0,-0.1,0.00,4.18,4.20,4.19,4.19,,,,,45.043300, 7.406200,0.1,2,2024-01-20 15:45:28,0,0,1024,0,1024,1019,-886,55,0,-1,1,0,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-01-20,15:45:28.630,8.2,74,0,5.77,100,0,-0.1,0.00,4.18,4.20,4.19,4.19,,,,,45.043300, 7.406200,0.1,3,2024-01-20 15:45:28,0,0,1024,0,1024,1020,-887,55,0,-1,1,0,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-01-20,15:45:28.740,8.2,74,0,5.77,100,0,0.1,0.00,4.18,4.19,4.19,4.19,,,,,45.043300, 7.406200,0.1,3,2024-01-20 15:45:28,0,0,1024,0,1024,1019,-886,55,0,-1,1,0,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-01-20,15:45:28.860,8.2,74,0,5.70,100,0,0.1,0.00,4.18,4.19,4.19,4.19,,,,,45.043300, 7.406200,0.1,3,2024-01-20 15:45:28,0,0,1024,0,1024,1019,-886,55,0,-1,1,0,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-01-20,15:45:28.980,8.3,74,0,5.70,100,0,0.0,0.00,4.18,4.19,4.19,4.19,,,,,45.043300, 7.406200,0.1,3,2024-01-20 15:45:28,0,0,1024,0,1024,1019,-886,56,0,-1,1,0,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-01-20,15:45:29.100,8.3,74,0,5.75,100,0,0.0,0.00,4.18,4.19,4.19,4.19,,,,,45.043300, 7.406200,0.1,3,2024-01-20 15:45:28,0,0,1024,0,1024,1019,-887,55,0,-1,1,0,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-01-20,15:45:29.230,8.2,74,0,5.75,100,0,0.2,0.00,4.18,4.19,4.19,4.19,,,,,45.043300, 7.406200,0.1,1,2024-01-20 15:45:28,0,0,1024,0,1024,1019,-886,55,0,-1,1,0,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-01-20,15:45:29.350,8.3,74,0,5.76,100,0,0.2,0.00,4.18,4.19,4.19,4.19,,,,,45.043300, 7.406200,0.1,1,2024-01-20 15:45:29,0,0,1024,0,1024,1019,-886,56,0,-1,1,0,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-01-20,15:45:29.470,8.2,74,0,5.76,100,0,0.0,0.00,4.18,4.19,4.19,4.19,,,,,45.043300, 7.406200,0.1,1,2024-01-20 15:45:29,0,0,1024,0,1024,1019,-886,56,0,-1,1,0,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-01-20,15:45:29.590,8.2,74,0,5.77,100,0,0.0,0.00,4.18,4.19,4.19,4.19,,,,,45.043300, 7.406200,0.1,2,2024-01-20 15:45:29,0,0,1024,0,1024,1019,-886,56,0,-1,1,0,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
