Date,Time,TxBat(V),RSSI(dB),RX,RxBatt(V),VFR(%),Altitude(m),VSpeed(m/s),ADC2(V),LiPo1(V),LiPo2(V),LiPo3(V),LiPo4(V),LiPo5(V),LiPo6(V),LiPo7(V),LiPo8(V),Latitude, Longitude,GPS Alt(m),GPS Speed(km/h),GPS Clock(),Rudder,Elevator,Throttle,Aileron,Pot1,Pot2,Slider left,Slider right,SA,SB,SC,SD,SE,SF,SG,SH,SI,SJ,LS1,LS2,LS3,LS4,LS5,LS6,LS7,LS8,LS9,LS10,LS11,LS12,LS13,LS14,LS15,LS16,LS17,LS18,LS19,LS20,LS21,LS22,LS23,LS24,LS25,LS26,LS27,LS28,LS29,LS30,
2024-02-02,13:19:39.650,8.3,57,0,,100,,,0.00,,,,,,,,,,,,,,0,0,1018,0,1024,1024,-1024,1024,0,-1,1,0,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-02-02,13:19:39.770,8.3,66,0,5.74,100,,,0.00,,,,,,,,,,,,,,0,0,1018,0,1024,1024,-1024,1024,0,-1,1,0,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-02-02,13:19:39.880,8.3,68,0,5.76,100,,,0.00,,,,,,,,,,,,,,0,0,1018,0,1024,1024,-1024,1024,0,-1,1,0,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-02-02,13:19:40.000,8.3,70,0,5.77,100,,,0.00,,,,,,,,,,,,,,0,0,1018,0,1024,1024,-1024,1024,0,-1,1,0,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-02-02,13:19:40.120,8.3,71,0,5.77,100,,,0.00,,,,,,,,,,,,,,0,0,1018,0,1024,1024,-1024,1024,0,-1,1,0,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-02-02,13:19:40.240,8.3,72,0,5.78,92,,,0.00,,,,,,,,,,,,,,0,0,1018,0,1024,1024,-1024,1024,0,-1,1,0,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-02-02,13:19:40.350,8.3,73,0,5.81,89,,,0.00,,,,,,,,,,,,,,0,0,1018,0,1024,1024,-1024,1024,0,-1,1,0,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-02-02,13:19:40.460,8.3,73,0,5.78,88,,,0.00,,,,,,,,,,,,,,0,0,1018,0,1024,1024,-1024,1024,0,-1,1,0,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-02-02,13:19:40.580,8.3,73,0,5.78,91,,,0.00,,,,,,,,,,,,,,0,0,1018,0,1024,1024,-1024,1024,0,-1,1,0,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-02-02,13:19:40.710,8.3,73,0,5.81,93,,10.0,0.00,,,,,,,,,,,,,,0,0,1018,0,1024,1024,-1024,1024,0,-1,1,0,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-02-02,13:19:40.830,8.3,74,0,5.81,94,,10.0,0.00,,,,,,,,,,,,,,0,0,1018,0,1023,1024,-1024,1024,0,-1,1,0,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-02-02,13:19:40.960,8.3,73,0,5.83,96,47,10.0,0.00,,,,,,,,,,,,,,0,0,1018,0,1024,1024,-1024,1024,0,-1,1,0,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-02-02,13:19:41.070,8.3,74,0,5.82,97,47,10.0,0.00,,,,,,,,,,,,,,0,0,1018,0,1024,1024,-1024,1024,0,-1,1,0,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
